timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659511448272,14888,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14824,0,107
1659511458304,4906,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4906,0,0
1659511457986,5254,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5254,0,0
1659511458559,4829,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4829,0,0
1659511457986,5417,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5417,0,0
1659511458315,5175,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-39,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5175,0,0
1659511458120,5732,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5732,0,0
1659511458989,5625,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5625,0,0
1659511459606,5423,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5423,0,0
1659511450746,14319,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-50,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14198,0,107
1659511450193,15255,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15215,0,109
1659511451422,14228,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-45,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14177,0,107
1659511449406,16295,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,18989,121,50,50,https://swapi.dev/api/films/,16266,0,103
1659511451122,14733,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14713,0,103
1659511450478,15420,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,18989,121,50,50,https://swapi.dev/api/films/,15367,0,107
1659511461216,4769,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4769,0,0
1659511462301,3756,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3756,0,0
1659511462687,3542,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3542,0,0
1659511462919,3364,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3364,0,0
1659511463388,3031,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3031,0,0
1659511463240,3160,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3160,0,0
1659511461549,4982,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,5962,122,50,50,https://swapi.dev/api/people/,4982,0,0
1659511461298,5250,GET_people,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,5962,122,50,50,https://swapi.dev/api/people/,5250,0,0
1659511451636,14940,GET_films,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-46,text,true,,18989,121,50,50,https://swapi.dev/api/films/,14931,0,102
1659511463403,3182,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3182,0,0
1659511463491,3249,GET_planets,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-39,text,true,,5834,123,50,50,https://swapi.dev/api/planets/,3249,0,0
